Address,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source,"Census Year","State FIPS","County FIPS","Place Name","Place FIPS","Census Tract Code","Census Block Code","Census Block Group","Full FIPS","Metro/Micro Statistical Area Name","Metro/Micro Statistical Area Code","Metro/Micro Statistical Area Type","Combined Statistical Area Name","Combined Statistical Area Code","Metropolitan Division Area Name","Metropolitan Division Area Code"
"City of South El Monte, CA",34.05195,-118.04673,1,place,,,,,"South El Monte",CA,"Los Angeles County",91733,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"South El Monte",0672996,433503,1006,1,060374335031006,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of South Gate, CA",33.956062,-118.205202,1,street_center,,"City Pl",,,"South Gate",CA,"Los Angeles County",90280,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"South Gate",0673080,535702,3007,3,060375357023007,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of South Pasadena, CA",34.108957,-118.156615,1,place,,,,,"South Pasadena",CA,"Los Angeles County",91030,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"South Pasadena",0673220,480704,1010,1,060374807041010,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Temple City, CA",34.10723,-118.05785,1,place,,,,,"Temple City",CA,"Los Angeles County",91780,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"Temple City",0678148,431900,2004,2,060374319002004,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Torrance, CA",33.835665,-118.303805,1,place,,,,,Torrance,CA,"Los Angeles County",90501,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"Los Angeles",0644000,293201,1006,1,060372932011006,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Vernon, CA",34.003903,-118.230073,0.9,place,,,,,Vernon,CA,"Los Angeles County",90058,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Vernon,0682422,532400,1071,1,060375324001071,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Walnut, CA",33.786594,-118.298662,1,place,,,,,Walnut,CA,"Los Angeles County",91788,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"Los Angeles",0644000,294421,1002,1,060372944211002,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of West Covina, CA",34.066964,-117.937007,1,place,,,,,"West Covina",CA,"Los Angeles County",91790,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"West Covina",0684200,406702,4037,4,060374067024037,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of West Hollywood, CA",34.093828,-118.381697,1,place,,,,,"West Hollywood",CA,"Los Angeles County",90069,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"Los Angeles",0644000,194300,2007,2,060371943002007,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Westlake Village, CA",34.137015,-118.82193,1,place,,,,,"Westlake Village",CA,"Los Angeles County",91361,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"Westlake Village",0684438,800326,1042,1,060378003261042,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Whittier, CA",34.004311,-118.0441,1,place,,,,,Whittier,CA,"Los Angeles County",90601,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"Rose Hills",0662860,500300,1126,1,060375003001126,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"Los Angeles - Adams-Normandie, CA",0,0,0,,,,,,,,,,,,,,,,,,,,,,,
"Los Angeles - Alsace, CA",33.973951,-118.248405,1,place,,,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Florence-Graham,0624477,535002,2001,2,060375350022001,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"Los Angeles - Angeles National Forest, CA",39.491285,-120.853002,0.8,place,,,,,Forest,CA,"Sierra County",95910,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06091,,,010000,3243,3,060910100003243,,,,,,,
"Los Angeles - Angelino Heights, CA",33.973951,-118.248405,1,place,,,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Florence-Graham,0624477,535002,2001,2,060375350022001,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"Los Angeles - Arleta, CA",33.973951,-118.248405,1,place,,,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Florence-Graham,0624477,535002,2001,2,060375350022001,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"Los Angeles - Atwater Village, CA",37.317255,-120.647347,1,place,,,,,Atwater,CA,"Merced County",95301,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06047,,,000505,1080,1,060470005051080,"Merced, CA",32900,metropolitan,"San Jose-San Francisco-Oakland, CA",488,,
"Los Angeles - Baldwin Hills, CA",0,0,0,,,,,,,,,,,,,,,,,,,,,,,
"Los Angeles - Bel Air, CA",0,0,0,,,,,,,,,,,,,,,,,,,,,,,
"Los Angeles - Beverly Crest, CA",32.700133,-117.078471,1,street_center,,"Los Angeles Pl",,,"San Diego",CA,"San Diego County",92114,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06073,"San Diego",0666000,003101,2007,2,060730031012007,"San Diego-Chula Vista-Carlsbad, CA",41740,metropolitan,,,,
"Los Angeles - Beverlywood, CA",33.973951,-118.248405,1,place,,,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Florence-Graham,0624477,535002,2001,2,060375350022001,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"Los Angeles - Boyle Heights, CA",33.973951,-118.248405,1,place,,,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Florence-Graham,0624477,535002,2001,2,060375350022001,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"Los Angeles - Brentwood, CA",37.890387,-122.273354,1,street_center,,"Los Angeles Ave",,,Berkeley,CA,"Alameda County",94707,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06001,Berkeley,0606000,421200,2030,2,060014212002030,"San Francisco-Oakland-Berkeley, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Berkeley-Livermore, CA",36084
"Los Angeles - Brookside, CA",33.973951,-118.248405,1,place,,,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Florence-Graham,0624477,535002,2001,2,060375350022001,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"Los Angeles - Cadillac-Corning, CA",39.92766,-122.17916,1,place,,,,,Corning,CA,"Tehama County",96021,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06103,Corning,0616322,001100,6000,6,061030011006000,"Red Bluff, CA",39780,micropolitan,"Redding-Red Bluff, CA",454,,
"Los Angeles - Canoga Park, CA",34.091867,-117.982417,1,street_center,,"Los Angeles St",,,"Baldwin Park",CA,"Los Angeles County",91706,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Irwindale,0636826,404600,2164,2,060374046002164,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"Los Angeles - Carthay, CA",33.973951,-118.248405,1,place,,,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Florence-Graham,0624477,535002,2001,2,060375350022001,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"Los Angeles - Central, CA",33.973951,-118.248405,1,place,,,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Florence-Graham,0624477,535002,2001,2,060375350022001,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"Los Angeles - Century City, CA",33.973951,-118.248405,1,place,,,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Florence-Graham,0624477,535002,2001,2,060375350022001,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"Los Angeles - Century Palms/Cove, CA",0,0,0,,,,,,,,,,,,,,,,,,,,,,,
"Los Angeles - Chatsworth, CA",34.091867,-117.982417,1,street_center,,"Los Angeles St",,,"Baldwin Park",CA,"Los Angeles County",91706,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Irwindale,0636826,404600,2164,2,060374046002164,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"Los Angeles - Cheviot Hills, CA",0,0,0,,,,,,,,,,,,,,,,,,,,,,,
"Los Angeles - Chinatown, CA",33.973951,-118.248405,1,place,,,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Florence-Graham,0624477,535002,2001,2,060375350022001,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"Los Angeles - Cloverdale/Cochran, CA",0,0,0,,,,,,,,,,,,,,,,,,,,,,,
"Los Angeles - Country Club Park, CA",0,0,0,,,,,,,,,,,,,,,,,,,,,,,
"Los Angeles - Crenshaw District, CA",33.973951,-118.248405,1,place,,,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Florence-Graham,0624477,535002,2001,2,060375350022001,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"Los Angeles - Crestview, CA",37.7652,-119.108645,1,street_center,,"Los Angeles St",,,"June Lake",CA,"Mono County",93529,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06051,"June Lake",0637624,000101,2184,2,060510001012184,,,,,,,
"Los Angeles - Del Rey, CA",36.6524,-119.592015,0.33,place,,,,,"Del Rey",CA,"Fresno County",93616,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06019,"Del Rey",0618674,006900,1032,1,060190069001032,"Fresno, CA",23420,metropolitan,"Fresno-Madera-Hanford, CA",260,,
"Los Angeles - Downtown, CA",33.973951,-118.248405,1,place,,,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Florence-Graham,0624477,535002,2001,2,060375350022001,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"Los Angeles - Eagle Rock, CA",0,0,0,,,,,,,,,,,,,,,,,,,,,,,
"Los Angeles - East Hollywood, CA",0,0,0,,,,,,,,,,,,,,,,,,,,,,,
"Los Angeles - Echo Park, CA",0,0,0,,,,,,,,,,,,,,,,,,,,,,,
"Los Angeles - El Sereno, CA",0,0,0,,,,,,,,,,,,,,,,,,,,,,,
"Los Angeles - Elysian Park, CA",0,0,0,,,,,,,,,,,,,,,,,,,,,,,
"Los Angeles - Elysian Valley, CA",39.056598,-123.525375,0.22,place,,,,,Philo,CA,"Mendocino County",95466,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06045,,,011200,1278,1,060450112001278,"Ukiah, CA",46380,micropolitan,,,,
"Los Angeles - Encino, CA",34.091867,-117.982417,1,street_center,,"Los Angeles St",,,"Baldwin Park",CA,"Los Angeles County",91706,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Irwindale,0636826,404600,2164,2,060374046002164,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"Los Angeles - Exposition, CA",33.973951,-118.248405,1,place,,,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Florence-Graham,0624477,535002,2001,2,060375350022001,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"Los Angeles - Exposition Park, CA",0,0,0,,,,,,,,,,,,,,,,,,,,,,,
"Los Angeles - Faircrest Heights, CA",33.973951,-118.248405,1,place,,,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Florence-Graham,0624477,535002,2001,2,060375350022001,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"Los Angeles - Figueroa Park Square, CA",0,0,0,,,,,,,,,,,,,,,,,,,,,,,
"Los Angeles - Florence-Firestone, CA",34.091867,-117.982417,1,street_center,,"Los Angeles St",,,"Baldwin Park",CA,"Los Angeles County",91706,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Irwindale,0636826,404600,2164,2,060374046002164,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"Los Angeles - Glassell Park, CA",0,0,0,,,,,,,,,,,,,,,,,,,,,,,
"Los Angeles - Gramercy Place, CA",33.973951,-118.248405,1,place,,,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Florence-Graham,0624477,535002,2001,2,060375350022001,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"Los Angeles - Granada Hills, CA",34.091867,-117.982417,1,street_center,,"Los Angeles St",,,"Baldwin Park",CA,"Los Angeles County",91706,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Irwindale,0636826,404600,2164,2,060374046002164,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"Los Angeles - Green Meadows, CA",0,0,0,,,,,,,,,,,,,,,,,,,,,,,
"Los Angeles - Hancock Park, CA",0,0,0,,,,,,,,,,,,,,,,,,,,,,,
"Los Angeles - Harbor City, CA",33.79002,-118.29785,0.33,place,,,,,"Harbor City",CA,"Los Angeles County",90710,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"Los Angeles",0644000,294421,1003,1,060372944211003,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"Los Angeles - Harbor Gateway, CA",39.326017,-120.203532,0.8,place,,,,,Gateway,CA,"Nevada County",95734,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06057,Truckee,0680588,001206,2048,2,060570012062048,"Truckee-Grass Valley, CA",46020,micropolitan,"Sacramento-Roseville, CA",472,,
"Los Angeles - Harbor Pines, CA",33.973951,-118.248405,1,place,,,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Florence-Graham,0624477,535002,2001,2,060375350022001,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"Los Angeles - Harvard Heights, CA",34.910795,-116.849376,0.27,place,,,,,Harvard,CA,"San Bernardino County",92398,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06071,,,011600,1220,1,060710116001220,"Riverside-San Bernardino-Ontario, CA",40140,metropolitan,"Los Angeles-Long Beach, CA",348,,
"Los Angeles - Harvard Park, CA",34.910795,-116.849376,0.27,place,,,,,Harvard,CA,"San Bernardino County",92398,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06071,,,011600,1220,1,060710116001220,"Riverside-San Bernardino-Ontario, CA",40140,metropolitan,"Los Angeles-Long Beach, CA",348,,
"Los Angeles - Highland Park, CA",34.12834,-117.20865,0.33,place,,,,,Highland,CA,"San Bernardino County",92346,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06071,Highland,0633588,007409,3015,3,060710074093015,"Riverside-San Bernardino-Ontario, CA",40140,metropolitan,"Los Angeles-Long Beach, CA",348,,
"Los Angeles - Historic Filipinotown, CA",33.973951,-118.248405,1,place,,,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Florence-Graham,0624477,535002,2001,2,060375350022001,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"Los Angeles - Hollywood, CA",33.973951,-118.248405,1,place,,,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Florence-Graham,0624477,535002,2001,2,060375350022001,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"Los Angeles - Hollywood Hills, CA",0,0,0,,,,,,,,,,,,,,,,,,,,,,,
"Los Angeles - Hyde Park, CA",0,0,0,,,,,,,,,,,,,,,,,,,,,,,
"Los Angeles - Jefferson Park, CA",0,0,0,,,,,,,,,,,,,,,,,,,,,,,
"Los Angeles - Koreatown, CA",33.973951,-118.248405,1,place,,,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Florence-Graham,0624477,535002,2001,2,060375350022001,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"Los Angeles - Lafayette Square, CA",37.890387,-122.273354,1,street_center,,"Los Angeles Ave",,,Berkeley,CA,"Alameda County",94707,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06001,Berkeley,0606000,421200,2030,2,060014212002030,"San Francisco-Oakland-Berkeley, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Berkeley-Livermore, CA",36084
"Los Angeles - Lake Balboa, CA",33.973951,-118.248405,1,place,,,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Florence-Graham,0624477,535002,2001,2,060375350022001,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"Los Angeles - Lakeview Terrace, CA",32.700133,-117.078471,1,street_center,,"Los Angeles Pl",,,"San Diego",CA,"San Diego County",92114,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06073,"San Diego",0666000,003101,2007,2,060730031012007,"San Diego-Chula Vista-Carlsbad, CA",41740,metropolitan,,,,
"Los Angeles - Leimert Park, CA",0,0,0,,,,,,,,,,,,,,,,,,,,,,,
"Los Angeles - Lincoln Heights, CA",38.889179,-121.299,1,street_center,,"L St",,,Lincoln,CA,"Placer County",95648,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06061,Lincoln,0641474,021403,3010,3,060610214033010,"Sacramento-Roseville-Folsom, CA",40900,metropolitan,"Sacramento-Roseville, CA",472,,
"Los Angeles - Little Armenia, CA",33.973951,-118.248405,1,place,,,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Florence-Graham,0624477,535002,2001,2,060375350022001,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"Los Angeles - Little Bangladesh, CA",33.973951,-118.248405,1,place,,,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Florence-Graham,0624477,535002,2001,2,060375350022001,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"Los Angeles - Little Tokyo, CA",33.973951,-118.248405,1,place,,,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Florence-Graham,0624477,535002,2001,2,060375350022001,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"Los Angeles - Longwood, CA",33.973951,-118.248405,1,place,,,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Florence-Graham,0624477,535002,2001,2,060375350022001,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"Los Angeles - Los Feliz, CA",33.973951,-118.248405,1,place,,,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Florence-Graham,0624477,535002,2001,2,060375350022001,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"Los Angeles - Manchester Square, CA",38.950236,-123.661507,1,place,,,,,Manchester,CA,"Mendocino County",95459,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06045,,,011102,2003,2,060450111022003,"Ukiah, CA",46380,micropolitan,,,,
"Los Angeles - Mandeville Canyon, CA",37.889311,-122.269429,1,street_center,,"Los Angeles Ave",,,Berkeley,CA,"Alameda County",94707,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06001,Berkeley,0606000,421400,1007,1,060014214001007,"San Francisco-Oakland-Berkeley, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Berkeley-Livermore, CA",36084
"Los Angeles - Mar Vista, CA",34.091867,-117.982417,1,street_center,,"Los Angeles St",,,"Baldwin Park",CA,"Los Angeles County",91706,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Irwindale,0636826,404600,2164,2,060374046002164,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"Los Angeles - Marina Peninsula, CA",36.6844,-121.80217,1,place,,,,,Marina,CA,"Monterey County",93933,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06053,Marina,0645778,014202,1000,1,060530142021000,"Salinas, CA",41500,metropolitan,,,,
"Los Angeles - Melrose, CA",33.973951,-118.248405,1,place,,,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Florence-Graham,0624477,535002,2001,2,060375350022001,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"Los Angeles - Mid-city, CA",33.973951,-118.248405,1,place,,,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Florence-Graham,0624477,535002,2001,2,060375350022001,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"Los Angeles - Miracle Mile, CA",33.973951,-118.248405,1,place,,,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Florence-Graham,0624477,535002,2001,2,060375350022001,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"Los Angeles - Mission Hills, CA",34.6506,-120.463447,1,street_center,,"L St",,,Lompoc,CA,"Santa Barbara County",93436,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06083,Lompoc,0642524,002705,2002,2,060830027052002,"Santa Maria-Santa Barbara, CA",42200,metropolitan,,,,
"Los Angeles - Mt. Washington, CA",39.352343,-120.79118,1,place,,,,,Washington,CA,"Nevada County",95986,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06057,Washington,0683570,000900,3317,3,060570009003317,"Truckee-Grass Valley, CA",46020,micropolitan,"Sacramento-Roseville, CA",472,,
"Los Angeles - North Hills, CA",34.091867,-117.982417,1,street_center,,"Los Angeles St",,,"Baldwin Park",CA,"Los Angeles County",91706,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Irwindale,0636826,404600,2164,2,060374046002164,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"Los Angeles - North Hollywood, CA",34.091867,-117.982417,1,street_center,,"Los Angeles St",,,"Baldwin Park",CA,"Los Angeles County",91706,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Irwindale,0636826,404600,2164,2,060374046002164,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"Los Angeles - Northridge, CA",34.091867,-117.982417,1,street_center,,"Los Angeles St",,,"Baldwin Park",CA,"Los Angeles County",91706,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Irwindale,0636826,404600,2164,2,060374046002164,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
